"Year of Testing","Month of Testing","Machine","Negative","Positive","Failed","Collect New Sample","Total"
"2018","January","Roche","3360","225","83","10","3678"
"2018","January","Abbott","73","3","18","","94"
"2018","February","Roche","2782","211","39","3","3035"
"2018","February","Abbott","","","","",""
"2018","March","Roche","2263","144","96","5","2508"
"2018","March","Abbott","262","13","7","","282"
"2018","April","Roche","1507","101","12","","1620"
"2018","April","Abbott","977","38","19","","1034"
"2018","May","Roche","1389","133","25","5","1552"
"2018","May","Abbott","1243","35","79","4","1361"
"2018","June","Roche","1831","85","20","4","1940"
"2018","June","Abbott","303","18","7","","328"
"2018","July","Roche","2276","142","27","","2445"
"2018","July","Abbott","","","","",""
"2018","August","Roche","894","72","8","9","983"
"2018","August","Abbott","1088","31","48","3","1170"
"2018","September","Roche","1803","119","12","3","1937"
"2018","September","Abbott","58","","22","","80"
"2018","October","Roche","2004","135","29","5","2173"
"2018","October","Abbott","","","","",""
"2018","November","Roche","726","53","4","","783"
"2018","November","Abbott","947","22","32","","1001"
"2018","December","Roche","601","20","17","","638"
"2018","December","Abbott","513","20","3","1","537"
