"Year","Month","Collection to Receipt at the Lab (TAT 1)","Receipt to Testing (TAT 2)","Testing to Dispatch (TAT 3)","Collection to Dispatch (TAT 4)","Receipt to Dispatch (Lab TAT)","Number of Samples"
"2015","4","155.0000","9.0000","12.0000","180.0000","7.9450","418"
"2015","5","52.1429","8.7143","4.2857","67.4286","8.0103","678"
"2015","6","12.7143","4.2857","2.2857","20.7143","5.5657","525"
"2015","7","19.4167","3.2500","46.1667","65.4167","7.2521","718"
"2015","8","4.1429","4.8571","38.1429","44.7143","7.8014","418"
"2015","9","5.7778","4.6667","4.5556","15.4444","9.5676","703"
"2015","10","9.3000","5.0000","3.2000","18.9000","9.9828","696"
"2015","11","4.6667","3.5000","2.1667","10.5000","5.7612","737"
"2015","12","9.3125","2.5625","3.6875","17.6250","15.9964","276"
"2016","1","6.0714","12.0714","21.6429","43.0714","28.8267","375"
"2016","2","4.5429","18.9429","21.6429","43.5571","39.9372","940"
"2016","3","5.5340","22.7115","4.5673","33.1553","29.9415","992"
"2016","4","4.7606","8.5141","3.8944","19.3592","15.3254","1014"
"2016","5","5.5040","2.1200","29.8880","37.9040","11.4946","649"
"2016","6","6.7244","2.5354","27.6693","37.2520","10.3716","705"
"2016","7","5.3538","2.4000","6.2385","13.9769","5.3953","640"
"2016","8","5.4581","3.5000","14.2255","24.0000","10.9360","750"
"2016","9","5.3500","2.4071","1.6714","9.4571","4.9428","997"
"2016","10","5.4140","2.6140","2.2233","11.3535","6.7364","793"
"2016","11","6.2976","1.9484","1.4683","9.5714","3.4640","763"
"2016","12","4.8686","2.7899","1.1014","9.1679","4.4671","456"
"2017","1","17.4023","12.1202","1.4186","10.0742","9.2821","872"
"2017","2","17.4292","13.6239","1.4115","7.7920","8.9526","760"
"2017","3","6.7026","2.7249","2.0483","11.4238","4.9051","1043"
"2017","4","4.1983","1.8565","1.4979","8.9873","5.3701","862"
"2017","5","3.5000","1.7696","2.3119","8.9493","5.7763","1020"
"2017","6","4.2831","3.4217","2.2289","11.3855","6.7050","956"
"2017","7","5.1754","1.9415","8.3918","15.5731","10.5641","1041"
"2017","8","5.5333","1.6333","1.7667","9.4833","3.9959","736"
"2017","9","3.7308","2.1026","2.1154","7.7179","3.4593","1130"
"2017","10","3.6324","2.2394","1.5211","8.0000","3.8275","1007"
"2017","11","4.0196","2.0594","2.2549","8.1373","3.1290","1160"
"2017","12","3.8715","2.0726","1.6955","8.9693","5.7717","438"
"2018","1","8.6104","11.1918","1.2978","12.0062","14.2130","1784"
"2018","2","4.4787","4.4449","1.9089","10.3241","6.1554","951"
"2018","3","3.5659","2.8280","1.4609","7.4370","4.0278","1403"
"2018","4","2.5821","1.9122","1.1739","6.4400","4.1143","1141"
"2018","5","4.7314","1.1908","1.9539","7.8057","2.9846","1315"
"2018","6","2.5986","1.4362","1.2040","4.4894","2.5240","1164"
"2018","7","2.8027","1.4290","1.5013","5.0353","2.9295","1254"
"2018","8","2.1531","1.0510","1.3604","4.0025","2.1496","1252"
"2018","9","2.5358","1.5682","1.9387","5.3857","3.0079","1271"
"2018","10","2.1445","1.2899","5.3798","8.5327","4.2193","1392"
"2018","11","2.2209","1.6555","11.3106","13.9717","7.1863","1243"
"2018","12","1.9350","1.4339","4.9957","8.2783","7.8475","938"
"2019","1","2.3100","1.5584","3.6531","6.8381","5.2711","1372"
"2019","2","2.4560","1.5889","3.0978","6.2136","4.1903","1114"
"2019","3","2.8774","2.5789","2.2773","6.9379","4.4246","1273"
"2019","4","2.1236","1.4709","1.5382","4.4776","3.4015","1204"
"2019","5","2.3789","1.5341","1.7298","5.1597","3.5035","1277"
"2019","6","2.6452","1.4475","1.3709","5.2039","3.1244","1030"
"2019","7","2.9267","1.7421","1.2407","5.4547","2.5812","1392"
"2019","8","3.0606","1.2500","0.9773","4.9394","2.0672","264"
